2024-03-11 13:19:16,034 INFO    MainThread:2208459 [wandb_setup.py:_flush():76] Current SDK version is 0.16.3
2024-03-11 13:19:16,035 INFO    MainThread:2208459 [wandb_setup.py:_flush():76] Configure stats pid to 2208459
2024-03-11 13:19:16,035 INFO    MainThread:2208459 [wandb_setup.py:_flush():76] Loading settings from /home/sagar/.config/wandb/settings
2024-03-11 13:19:16,035 INFO    MainThread:2208459 [wandb_setup.py:_flush():76] Loading settings from /home/sagar/trans-fer-entropy/article_filtering/wandb/settings
2024-03-11 13:19:16,035 INFO    MainThread:2208459 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'notebook_name': '/home/sagar/trans-fer-entropy/article_filtering/01-sk-filter_testing.ipynb'}
2024-03-11 13:19:16,035 INFO    MainThread:2208459 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-03-11 13:19:16,035 INFO    MainThread:2208459 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2024-03-11 13:19:16,035 INFO    MainThread:2208459 [wandb_init.py:_log_setup():526] Logging user logs to /home/sagar/trans-fer-entropy/article_filtering/wandb/run-20240311_131916-9j6sz66q/logs/debug.log
2024-03-11 13:19:16,035 INFO    MainThread:2208459 [wandb_init.py:_log_setup():527] Logging internal logs to /home/sagar/trans-fer-entropy/article_filtering/wandb/run-20240311_131916-9j6sz66q/logs/debug-internal.log
2024-03-11 13:19:16,035 INFO    MainThread:2208459 [wandb_init.py:init():566] calling init triggers
2024-03-11 13:19:16,035 INFO    MainThread:2208459 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {}
2024-03-11 13:19:16,035 INFO    MainThread:2208459 [wandb_init.py:init():591] re-initializing run, found existing run on stack: 055xsl3u
2024-03-11 13:19:16,036 INFO    MainThread:2208459 [wandb_run.py:_finish():1970] finishing run sagarkumar/few_shot_1/055xsl3u
2024-03-11 13:19:16,078 INFO    MainThread:2208459 [jupyter.py:save_history():445] not saving jupyter history
2024-03-11 13:19:16,078 INFO    MainThread:2208459 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-03-11 13:19:16,079 INFO    MainThread:2208459 [wandb_init.py:_jupyter_teardown():454] cleaning up jupyter logic
2024-03-11 13:19:16,079 INFO    MainThread:2208459 [wandb_run.py:_atexit_cleanup():2210] got exitcode: 0
2024-03-11 13:19:16,079 INFO    MainThread:2208459 [wandb_run.py:_restore():2193] restore
2024-03-11 13:19:16,079 INFO    MainThread:2208459 [wandb_run.py:_restore():2199] restore done
2024-03-11 13:19:29,008 INFO    MainThread:2208459 [wandb_run.py:_footer_history_summary_info():3866] rendering history
2024-03-11 13:19:29,008 INFO    MainThread:2208459 [wandb_run.py:_footer_history_summary_info():3898] rendering summary
2024-03-11 13:19:29,014 INFO    MainThread:2208459 [wandb_run.py:_footer_sync_info():3825] logging synced files
2024-03-11 13:19:29,092 INFO    MainThread:2208459 [wandb_init.py:init():616] starting backend
2024-03-11 13:19:29,092 INFO    MainThread:2208459 [wandb_init.py:init():620] setting up manager
2024-03-11 13:19:29,095 INFO    MainThread:2208459 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-03-11 13:19:29,095 INFO    MainThread:2208459 [wandb_init.py:init():628] backend started and connected
2024-03-11 13:19:29,108 INFO    MainThread:2208459 [wandb_run.py:_label_probe_notebook():1295] probe notebook
2024-03-11 13:19:29,111 INFO    MainThread:2208459 [wandb_init.py:init():720] updated telemetry
2024-03-11 13:19:29,116 INFO    MainThread:2208459 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-03-11 13:19:30,242 INFO    MainThread:2208459 [wandb_run.py:_on_init():2262] communicating current version
2024-03-11 13:19:30,281 INFO    MainThread:2208459 [wandb_run.py:_on_init():2271] got version response upgrade_message: "wandb version 0.16.4 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-03-11 13:19:30,281 INFO    MainThread:2208459 [wandb_init.py:init():804] starting run threads in backend
2024-03-11 13:19:36,424 INFO    MainThread:2208459 [wandb_run.py:_console_start():2241] atexit reg
2024-03-11 13:19:36,424 INFO    MainThread:2208459 [wandb_run.py:_redirect():2096] redirect: wrap_raw
2024-03-11 13:19:36,424 INFO    MainThread:2208459 [wandb_run.py:_redirect():2161] Wrapping output streams.
2024-03-11 13:19:36,424 INFO    MainThread:2208459 [wandb_run.py:_redirect():2186] Redirects installed.
2024-03-11 13:19:36,424 INFO    MainThread:2208459 [wandb_init.py:init():847] run started, returning control to user process
2024-03-11 13:19:36,425 INFO    MainThread:2208459 [wandb_watch.py:watch():51] Watching
